Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
179458,Mount Thomas,Summit,Eagle County,Colorado,Crooked Creek Pass,3651,39.4195977,-106.7435727,None,10/13/78,null,null,null,null,8037,8
177544,Mount Tileston,Summit,Larimer County,Colorado,Estes Park,3428,40.4472484,-105.6203768,1/1/32,10/13/78,null,null,null,null,8069,8
188789,Mount Tilton,Summit,Gunnison County,Colorado,Pearl Pass,3828,38.9710965,-106.7644707,None,10/13/78,null,null,null,null,8051,8
178435,Mount Toll,Summit,Grand County,Colorado,Monarch Lake,3952,40.0884279,-105.633754,1/1/40,10/13/78,null,null,null,null,8049,8
181603,Mount Tom,Summit,Jefferson County,Colorado,Ralston Buttes,2966,39.8162544,-105.3516286,None,10/13/78,null,null,null,null,8059,8
181814,Mount Trelease,Summit,Clear Creek County,Colorado,Loveland Pass,3797,39.695569,-105.9028218,1/1/33,10/13/78,null,null,null,null,8019,8
196428,Mount Tweto,Summit,Park County,Colorado,Climax,4163,39.322155,-106.1693687,1/1/86,5/1/89,null,null,null,null,8093,8
192185,Mount Tyndall,Summit,Custer County,Colorado,Mount Tyndall,2897,38.1324122,-105.3332164,1/1/78,10/13/78,null,null,null,null,8027,8
188002,Mount Valois,Summit,La Plata County,Colorado,Columbine Pass,4018,37.5740927,-107.5846641,None,10/13/78,null,null,null,null,8067,8
193594,Mount Vigil,Summit,El Paso County,Colorado,Mount Big Chief,3063,38.7267102,-104.9221215,None,10/13/78,null,null,null,null,8041,8
182477,Mount Warren,Summit,Clear Creek County,Colorado,Mount Evans,4053,39.6051104,-105.633389,1/1/79,10/13/78,null,null,null,null,8019,8
169873,Mount Welba,Summit,Moffat County,Colorado,Freeman Reservoir,3222,40.8327073,-107.3876582,None,10/13/78,null,null,null,null,8081,8
172767,Mount Werner,Summit,Routt County,Colorado,Mount Werner,3221,40.4560015,-106.7401636,1/1/64,10/13/78,null,null,null,null,8107,8
204989,Mount Wescott,Summit,Grand County,Colorado,Shadow Mountain,3181,40.2208449,-105.7521345,1/1/32,10/13/78,null,null,null,null,8049,8
189453,Mount White,Summit,Chaffee County,Colorado,Mount Antero,4159,38.6568616,-106.2374875,None,10/13/78,null,null,null,null,8015,8
182449,Mount Wilcox,Summit,Clear Creek County,Colorado,Montezuma,4091,39.6155399,-105.7573666,1/1/47,10/13/78,null,null,null,null,8019,8
187461,Mount Wilson,Summit,Dolores County,Colorado,Mount Wilson,4345,37.8392056,-107.9915763,1/1/16,10/13/78,null,null,null,null,8033,8
204960,Mount Wuh,Summit,Larimer County,Colorado,McHenrys Peak,3276,40.3337359,-105.6607213,None,10/13/78,null,null,null,null,8069,8
189198,Mount Yale,Summit,Chaffee County,Colorado,Mount Yale,4326,38.8441725,-106.3139015,None,10/13/78,null,null,null,null,8015,8
179737,Mount Yeckel,Summit,Pitkin County,Colorado,Meredith,3588,39.2865759,-106.6998971,1/1/75,8/31/92,null,null,null,null,8097,8
183023,Mount Yuma,Summit,Yuma County,Colorado,Schramm,1268,40.0094426,-102.5938707,None,10/13/78,null,null,null,null,8125,8
179889,Mount Zion,Summit,Lake County,Colorado,Leadville North,3697,39.3113051,-106.2752926,None,10/13/78,null,null,null,null,8065,8
182168,Mount Zion,Summit,Jefferson County,Colorado,Morrison,2147,39.7436087,-105.2418163,None,10/13/78,null,null,null,null,8059,8
170419,Mount Zirkel,Summit,Jackson County,Colorado,Mount Zirkel,3716,40.831234,-106.6632231,None,10/13/78,null,null,null,null,8057,8
192581,Mount Zwischen,Summit,Saguache County,Colorado,Medano Pass,3660,37.7912548,-105.4553718,1/1/04,8/31/92,null,null,null,null,8109,8
179522,Mount of the Holy Cross,Summit,Eagle County,Colorado,Mount of the Holy Cross,4260,39.4666238,-106.481692,1/1/47,10/13/78,null,null,null,null,8037,8
183455,Mud Hill,Summit,Park County,Colorado,Observatory Rock,2831,39.298332,-105.7246784,None,10/13/78,null,null,null,null,8093,8
174925,Mud Hill,Summit,Mesa County,Colorado,Hightower Mountain,2622,39.3440456,-107.6961159,None,10/13/78,null,null,null,null,8077,8
193835,Muldoon Hill,Summit,Pueblo County,Colorado,Muldoon Hill,1722,38.1184585,-104.8620244,None,10/13/78,null,null,null,null,8101,8
184292,Mule Mountain,Summit,Archuleta County,Colorado,Devil Mountain,2722,37.260522,-107.3114893,1/1/67,10/13/78,null,null,null,null,8007,8
202467,Mummy Mountain,Summit,Larimer County,Colorado,Estes Park,4087,40.4751891,-105.6236243,1/1/32,10/13/78,null,null,null,null,8069,8
193012,Music Mesa,Summit,Costilla County,Colorado,Mesito Reservoir,2615,37.2345573,-105.6763095,None,10/13/78,null,null,null,null,8023,8
192434,Music Mountain,Summit,Saguache County,Colorado,Crestone Peak,4063,37.9366607,-105.5486848,None,10/13/78,null,null,null,null,8109,8
177777,Nakai Peak,Summit,Grand County,Colorado,Grand Lake,3725,40.3434885,-105.7758547,1/1/32,10/13/78,null,null,null,null,8049,8
197494,Napoleon Mountain,Summit,Gunnison County,Colorado,Cumberland Pass,3834,38.6988511,-106.4645042,None,7/1/92,null,null,null,null,8051,8
203633,Napoleon Peak,Summit,Costilla County,Colorado,Trinchera Peak,3616,37.3739753,-105.1687779,None,10/13/78,null,null,null,null,8023,8
176648,Narraguinnep Mountain,Summit,Dolores County,Colorado,Narraguinnep Mountain,2753,37.7182844,-108.5562587,None,10/13/78,null,null,null,null,8033,8
179063,Navajo Hill,Summit,Montezuma County,Colorado,Point Lookout,2482,37.2605451,-108.4936897,None,10/13/78,null,null,null,null,8083,8
191056,Navajo Peak,Summit,Archuleta County,Colorado,Chama Peak,3440,37.092428,-106.7336553,1/1/32,10/13/78,null,null,null,null,8007,8
178430,Navajo Peak,Summit,Grand County,Colorado,Monarch Lake,4082,40.0534433,-105.646445,1/1/14,10/13/78,null,null,null,null,8049,8
180983,Nebraska Hill,Summit,Gilpin County,Colorado,East Portal,3518,39.8806988,-105.6512096,None,10/13/78,null,null,null,null,8047,8
190849,Neff Mountain,Summit,Conejos County,Colorado,Cumbres,3320,37.0302577,-106.4388255,None,10/13/78,null,null,null,null,8021,8
190467,Nelson Mountain,Summit,Mineral County,Colorado,San Luis Peak,3688,37.9149619,-106.9367856,None,10/13/78,null,null,null,null,8079,8
193185,Nemrick Butte,Summit,Douglas County,Colorado,Greenland,2274,39.2089021,-104.8220836,None,10/13/78,null,null,null,null,8035,8
188702,Neoga Mountain,Summit,Hinsdale County,Colorado,Lake City,3324,38.0332224,-107.3421822,None,10/13/78,null,null,null,null,8053,8
195331,Nero Hill,Summit,Crowley County,Colorado,Nero Hill,1409,38.308036,-103.7862005,None,10/13/78,null,null,null,null,8025,8
181481,Nevada Hill,Summit,Gilpin County,Colorado,Central City,2809,39.7975778,-105.5346264,None,10/13/78,null,null,null,null,8047,8
202353,New York Mountain,Summit,Eagle County,Colorado,Grouse Mountain,3822,39.5083087,-106.6183791,None,10/13/78,null,null,null,null,8037,8
180315,New York Peak,Summit,Pitkin County,Colorado,New York Peak,3901,39.0858838,-106.6930356,None,10/13/78,null,null,null,null,8097,8
1947438,Newton Mesa,Summit,Archuleta County,Colorado,Oakbrush Hill,2468,37.1397225,-107.0964189,None,1/10/02,null,null,null,null,8007,8
187408,Niagara Peak,Summit,San Juan County,Colorado,Handies Peak,4203,37.8892488,-107.5335107,None,10/13/78,null,null,null,null,8111,8
174490,Nick Mountain,Summit,Mesa County,Colorado,Mesa Lakes,2701,39.1241514,-108.0104639,1/1/82,8/31/92,null,null,null,null,8077,8
183559,Nighthawk Hill,Summit,Douglas County,Colorado,Deckers,2136,39.3528067,-105.1456423,None,10/13/78,null,null,null,null,8035,8
203050,Ninemile Hill,Summit,Mesa County,Colorado,Island Mesa,1987,38.8823784,-108.5043064,None,10/13/78,null,null,null,null,8077,8
195663,Ninemile Hill,Summit,Bent County,Colorado,Gilpin,1299,37.9428543,-103.1974186,None,10/13/78,null,null,null,null,8011,8
170720,Ninemile Hill,Summit,Moffat County,Colorado,Ninemile Hill,1881,40.711446,-108.1912738,None,10/13/78,null,null,null,null,8081,8
202777,Ninemile Mountain,Summit,Grand County,Colorado,Bottle Pass,2950,39.9982309,-105.9527815,None,10/13/78,null,null,null,null,8049,8
190939,Nipple Mountain,Summit,Archuleta County,Colorado,Blackhead Peak,3672,37.2965411,-106.7716711,None,10/13/78,null,null,null,null,8007,8
191677,Nipple Mountain,Summit,Saguache County,Colorado,Coaldale,3719,38.2663644,-105.7971763,None,10/13/78,null,null,null,null,8109,8
203535,Nipple Mountain,Summit,Fremont County,Colorado,Cripple Creek South,3047,38.6401297,-105.1254441,None,10/13/78,null,null,null,null,8043,8
176733,Nipple Mountain,Summit,Dolores County,Colorado,Nipple Mountain,2978,37.7012405,-108.2844092,None,10/13/78,null,null,null,null,8033,8
170479,Nipple Peak,Summit,Routt County,Colorado,Meaden Peak,3146,40.8726593,-107.0381404,None,10/13/78,null,null,null,null,8107,8
177788,Nisa Mountain,Summit,Grand County,Colorado,Grand Lake,3287,40.2885895,-105.7986111,1/1/32,10/13/78,null,null,null,null,8049,8
178482,Niwot Mountain,Summit,Boulder County,Colorado,Ward,3498,40.0587867,-105.5525324,None,10/13/78,null,null,null,null,8013,8
185354,No Mans Mesa,Summit,Mesa County,Colorado,Triangle Mesa,1747,38.7640447,-108.387039,None,10/13/78,null,null,null,null,8077,8
183550,Noddle Heads,Summit,Douglas County,Colorado,Deckers,2502,39.3285821,-105.1536781,None,10/13/78,null,null,null,null,8035,8
170653,Zenobia Peak,Summit,Moffat County,Colorado,Zenobia Peak,2746,40.6071236,-108.8701379,None,10/13/78,null,null,null,null,8081,8
177605,Ypsilon Mountain,Summit,Larimer County,Colorado,Trail Ridge,4114,40.4571828,-105.6812556,1/1/32,10/13/78,null,null,null,null,8069,8
186722,Youngs Peak,Summit,Delta County,Colorado,Crawford,2263,38.7113273,-107.6063489,1/1/67,10/13/78,null,null,null,null,8029,8
187501,Yellow Mountain,Summit,San Miguel County,Colorado,Ophir,4012,37.8186505,-107.8340711,None,10/13/78,null,null,null,null,8113,8
170692,Yellow Cat Butte,Summit,Moffat County,Colorado,Sevenmile Draw,1936,40.7474749,-108.3375826,None,10/13/78,null,null,null,null,8081,8
182575,Yegge Peak,Summit,Jefferson County,Colorado,Indian Hills,2462,39.5406,-105.2281218,None,10/13/78,null,null,null,null,8059,8
175752,Yarmony Mountain,Summit,Eagle County,Colorado,McCoy,2896,39.9129024,-106.6405824,None,10/13/78,null,null,null,null,8037,8
179858,Yankee Hill,Summit,Lake County,Colorado,Leadville North,3336,39.2532456,-106.2585176,None,10/13/78,null,null,null,null,8065,8
202824,Yankee Hill,Summit,Gilpin County,Colorado,Central City,3421,39.8294254,-105.6219355,None,10/13/78,null,null,null,null,8047,8
169625,Yahoo Mountain,Summit,Routt County,Colorado,Fly Creek,2526,40.9439626,-107.2684882,None,10/13/78,null,null,null,null,8107,8
191864,Y M C A Mountain,Summit,Fremont County,Colorado,Royal Gorge,2114,38.4263806,-105.2872038,None,10/13/78,null,null,null,null,8043,8
169345,Wulsten Baldy,Summit,Custer County,Colorado,Electric Peak,3908,38.2458876,-105.7390608,1/1/70,8/1/90,null,null,null,null,8027,8
174501,Wrigley Mesa,Summit,Mesa County,Colorado,Westwater,1697,39.0768885,-109.0214413,None,10/13/78,null,null,null,null,8077,8
186052,Wrights Mesa,Summit,San Miguel County,Colorado,Norwood,2136,38.1317264,-108.3023152,1/1/92,8/31/92,null,null,null,null,8113,8
186622,Wooten Mesa,Summit,Gunnison County,Colorado,Minnesota Pass,2383,38.8344201,-107.4610292,None,10/13/78,null,null,null,null,8051,8
181856,Woods Mountain,Summit,Clear Creek County,Colorado,Grays Peak,3948,39.7304544,-105.8397217,None,10/13/78,null,null,null,null,8019,8
180989,Woodland Mountain,Summit,Boulder County,Colorado,East Portal,3433,39.9511181,-105.666392,None,10/13/78,null,null,null,null,8013,8
181930,Woodchuck Peak,Summit,Clear Creek County,Colorado,Georgetown,3393,39.7152589,-105.6731128,None,10/13/78,null,null,null,null,8019,8
172946,Woodchuck Hill,Summit,Routt County,Colorado,Blacktail Mountain,2735,40.2574765,-106.8153032,None,10/13/78,null,null,null,null,8107,8
178512,Wood Mountain,Summit,Boulder County,Colorado,Gold Hill,2405,40.0461168,-105.403108,None,10/13/78,null,null,null,null,8013,8
187377,Wood Mountain,Summit,San Juan County,Colorado,Handies Peak,4162,37.9474562,-107.5380624,None,10/13/78,null,null,null,null,8111,8
